"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"16684080";-3,59161901415198;8,68536365115887;-12,735209158313;6,64692269970542e-10;8,90953518668514e-06;11,4877280326097
"16667702";-3,35020629990445;7,23816768753286;-11,1893218966336;4,48198847572877e-09;3,00382867643342e-05;10,0862243307134
"16960355";-4,12056328097624;8,57011884992383;-9,69788036155045;3,47293453250097e-08;0,000155170714912143;8,48150930359184
"17004208";-2,79427790787995;7,31405936537944;-8,83635086073189;1,26121586944547e-07;0,000422633437851176;7,42317274479417
"16840113";-3,14012178865102;7,07978281785046;-8,2988669995092;2,94650646806024e-07;0,000679681501572978;6,70897765462364
"16852463";-2,89209001628847;7,2861882310866;-8,27900169333819;3,04244181545648e-07;0,000679681501572978;6,6817510407116
"16853879";-2,7476480231632;6,84050112320497;-7,71688463166342;7,69060443811802e-07;0,00147264088412191;5,88604517645284
"16734355";2,50140820825165;7,7583136754982;7,46377066782378;1,18334120595397e-06;0,00198268819057587;5,51148027427137
"17121886";-2,17951481023341;7,93156800637592;-6,93904117470044;2,97104956556152e-06;0,00442488315297629;4,70198136177851
"16757373";-2,52429228785756;6,83073296798574;-6,77563017066288;3,98769264594747e-06;0,00533922030040496;4,44069829400662
"16909724";-2,38101913243343;8,54695572918252;-6,72374326064468;4,38163408717208e-06;0,00533922030040496;4,35681773170548
"17112918";-2,80380249903683;7,48754405456883;-6,62088857717178;5,28704291054317e-06;0,00534912560652833;4,18923602649972
"17075553";-2,27224122712747;8,21233654839565;-6,5528883339776;5,99088314533811e-06;0,00534912560652833;4,07748977744703
"16656953";3,84275895092181;5,6158526847818;6,5375649624719;6,1625430167732e-06;0,00534912560652833;4,05220390919148
"17007982";2,69889899648226;8,34346504161484;6,52632455857284;6,29171155163646e-06;0,00534912560652833;4,03363109503121
"16800630";-2,42882145286453;6,97464179172563;-6,50224702960528;6,57796382147801e-06;0,00534912560652833;3,99377753756295
"16666485";-2,4194037637894;6,26951805280558;-6,48556753201122;6,7841789996256e-06;0,00534912560652833;3,96611369831917
"16971409";-2,88994219019183;6,87939015345419;-6,43948587745721;7,38959179622705e-06;0,00550278269092374;3,88944830378256
"16666509";-2,73955409169902;6,85205716584113;-6,29934099321114;9,60052858192848e-06;0,00659407509530722;3,65416200341047
"17012859";-2,49247322595451;7,50452708648717;-6,26129871360725;1,03122396331646e-05;0,00659407509530722;3,58974232536656
"16983765";-1,94373388686107;7,81882539820129;-6,26033759743751;1,03309144286371e-05;0,00659407509530722;3,58811175976354
"17012946";-2,00225165907966;7,84074457242402;-6,15120476265856;1,26974349177963e-05;0,0074904726185701;3,40199286472233
"16677556";-2,12713670910221;7,5314871119386;-6,14479061870526;1,28529446603336e-05;0,0074904726185701;3,39099419328308
"16773131";2,26614843602341;6,12582193244316;6,06341972430543;1,5006514155216e-05;0,00825733333572865;3,25088990450034
"16911338";-1,85949764133366;6,08998297040593;-6,04983989878345;1,54008753650564e-05;0,00825733333572865;3,22740497414824
"17012148";-2,11436270340263;8,14098959857392;-5,86378924296243;2,2027876079753e-05;0,0113562173451157;2,90270235084515
"17080648";-2,19672273379075;8,14213822512173;-5,82997684445244;2,35198742706164e-05;0,0116763109156793;2,84310678293035
"16656719";3,14609476213594;7,09577186788666;5,72416351290879;2,8902107675378e-05;0,0134798150806486;2,65546030320968
"16928204";-2,03462340108577;6,27725732031514;-5,71954827872834;2,91640284496277e-05;0,0134798150806486;2,6472364883399
"17121888";-2,09224870860889;6,48035032864828;-5,65434012239501;3,31385465295355e-05;0,0147657943238062;2,53069530954762
"16851933";-1,97325058852813;9,3301865705743;-5,63422828458005;3,44742737907022e-05;0,0147657943238062;2,4946206666011
"16654631";2,46863638421032;5,28973750431194;5,62289919881814;3,52510756760519e-05;0,0147657943238062;2,47427274473604
"16844558";-2,46433897166492;8,8508143377599;-5,55193021855385;4,05468318420784e-05;0,0164693858791278;2,34636831960013
"16925398";-2,46043228312709;6,92526341459078;-5,53318920054922;4,20780149221271e-05;0,0165264937703084;2,31246673589664
"16791319";-2,08704774609741;7,86831739845583;-5,52044396156292;4,31533334796175e-05;0,0165264937703084;2,28938149022729
"16653823";3,76136531326223;6,6585690875043;5,4970127892691;4,52048683592602e-05;0,0168312793190979;2,24687842592598
"16980762";2,82832585030048;6,93449334721648;5,44721717287812;4,99059153404205e-05;0,0180794294384594;2,15628405396994
"16834091";-1,66122976947931;10,0745983802235;-5,36170285302637;5,91906725244401e-05;0,0208787309083578;1,99986761482601
"16720085";-1,70480723654355;8,37583538795897;-5,31971671634956;6,43842037833819e-05;0,0221283555772423;1,922687648172
"16943241";-2,25612211408863;7,90109023896001;-5,28664937828031;6,8803763370964e-05;0,02305614110561;1,86172787583646
"16968735";-1,72020282314292;6,92103125039067;-5,2638117497882;7,2037543503319e-05;0,0234602723629835;1,81953765658069
"16793674";-2,05593263768648;6,2263185197898;-5,2537588072678;7,35102535993215e-05;0,0234602723629835;1,80094297098427
"17075112";-2,0565724229393;7,14041823444416;-5,20641095544517;8,08748526398791e-05;0,0252103842973242;1,71317823697112
"16852179";-1,97622078775281;6,03543458815241;-5,12182941186751;9,59783177408054e-05;0,0284813257248931;1,55564248270653
"16904365";-1,77329229820959;6,53814317530374;-5,11449126738452;9,74185152870807e-05;0,0284813257248931;1,54193011396762
"17087430";2,14071757682366;6,72680746359278;5,10737927568343;9,8835532275317e-05;0,0284813257248931;1,52863359380827
"16810341";-1,78285207359679;7,57262610029638;-5,10226610304377;9,98673760869871e-05;0,0284813257248931;1,51906995347896
"16878947";-2,24473065796234;7,84516331525343;-5,07554624641742;0,000105442443617778;0,0294448023802646;1,46903788192671
