"";"GSM3688814_p.15.06.2016_01_AS6.ga.cel";"GSM3688815_p.15.06.2016_02_AS2.ga.cel";"GSM3688816_p.15.06.2016_03_AS3.ga.cel";"GSM3688817_p.15.06.2016_04_AS5.ga.cel";"GSM3688818_p.15.06.2016_14_AS7.ga.cel";"GSM3688819_p.15.06.2016_05_S15.ga.cel";"GSM3688820_p.15.06.2016_07_S10.ga.cel";"GSM3688821_p.15.06.2016_09_S29.ga.cel";"P.Value";"adj.P.Val";"B"
"16650003";3,58389256851044;3,47988407100262;3,66682129949604;3,77902661189805;4,50049464388377;4,11155441149424;6,07335336729614;6,14623312256348;0,090822035389121;0,391378643971473;-4,67923422809124
"16650005";3,95353122040899;3,75270902906651;4,1185785695128;4,31745419737254;4,21824987932421;3,73202710877239;6,42378522892364;3,88971641641607;0,227046280223251;0,506124786315061;-5,40745312101132
"16650013";3,85562865335455;4,12061152814857;5,08720657457538;5,30174616077146;3,24099624128674;6,43602323364418;4,3723859102449;6,23288290983708;0,015041342552372;0,279930953517972;-3,10515221475917
"16650015";5,83695220229085;5,54281822669797;6,00686890634397;4,30373194094152;4,52082533311322;4,10292166730092;4,65021181003239;6,45235595743499;0,277088196699169;0,546513242812054;-5,55239064595439
"16650017";5,59151294408767;4,74389673534942;5,3520408384144;4,13270023706225;4,63392973657707;5,84377817865399;4,48830841799393;5,24080759038868;0,0699143669002977;0,370972879747877;-4,45879439578168
"16650019";4,1856192525797;6,20340272438395;5,12485282061993;4,19980721811428;3,56937636057071;3,33675767232576;3,64052359984026;4,26205162249677;0,140261163190735;0,432567843891584;-5,034805149763
"16650023";5,28520582237334;4,05362862938011;4,23709229485077;4,3645394151515;3,87041183760865;4,24265579926497;3,84877131007278;3,66787636421548;0,527875374273733;0,731634941243421;-5,96129108565909
"16650025";3,87460892697677;3,52890603691062;3,49669307276751;3,51582367365599;5,76659353708314;3,2961290815696;5,10998171996181;3,8043076918441;0,561517030039655;0,754090198442194;-5,9934024540149
"16650031";5,3825136663634;3,96734345064131;6,00759016147406;4,52386589022313;4,60517926089351;6,3963992900751;6,86356141586012;4,85330666560101;0,118954572978053;0,418962108852934;-4,90178466245534
"16650033";3,16209338120796;6,02538057357305;3,59220092567835;3,93214382831626;3,31776617549003;3,29429226658518;3,19017008067728;3,16331469754736;0,496536256311647;0,712808709761951;-5,92790144711532
"16650041";7,49070459782067;6,72072191461747;7,54788624449928;6,27491350340085;7,22603661406273;5,51553026541878;7,93979326043654;6,16954233065822;0,564907930268469;0,757202589731856;-5,99644001251568
"16650043";7,64208591076719;5,38977033113072;7,00904865787478;6,64760305732602;5,68985179157546;8,71037897137984;8,07801335448799;8,48589922234693;0,00304319664515484;0,16242784685269;-1,6431427307931
"16650045";4,21613904408453;3,22039264129831;3,7228649616645;3,76705263416177;4,84812735395361;2,8833421201935;3,55481036207991;3,7602001826527;0,906816071432652;0,955653952471363;-6,16263971503068
"16650047";7,517234902546;5,43348404971467;4,84426753212432;6,65455362807891;7,34874276857954;5,78577420799953;4,15270210257325;6,62487255446317;0,876322161386977;0,941808067935818;-6,15713175699319
"16650049";4,97401673205503;5,94914865081641;4,38965673928329;4,61896965602225;3,57434365884046;3,65952533289528;4,04506495540739;5,21914936329712;0,431856766972567;0,667428583477492;-5,84661827790306
"16650051";6,19814476787017;5,27895002330349;4,89934507971495;5,41001970663637;4,67249311410561;5,5062588577749;5,7152153327508;5,41001970663637;0,167602357212127;0,453480419069712;-5,17569210453348
"16650053";9,33191129710483;8,60462545734943;8,93390168999583;7,65207308051574;8,95826344341866;5,79091276301723;6,27944454932216;7,6233667548786;0,0789825767045061;0,381507192125117;-4,56206404876689
"16650057";4,93549112986589;5,7843237078457;6,07220313391291;5,56006817127371;7,20566793988811;5,03615569719025;5,28369858803302;5,77374641357897;0,383225734363088;0,628426442794571;-5,77216001802861
"16650059";7,95321712899676;7,23760687257989;7,80407647135839;6,03248187082215;7,42470055352569;6,47306435250411;7,74930571071464;7,3833382639454;0,756604480150704;0,877444644795122;-6,119520636186
"16650065";4,48838495388142;5,08310916436635;3,30179972286174;4,74042163405911;4,00050303034487;6,79245934975699;4,04787716063941;3,44372670637443;0,734576626427966;0,864769462554054;-6,10963466966936
"16650067";4,62964874826434;4,39414342500536;5,68997385693628;4,67245962608705;5,05238401173188;4,57360782803792;6,38177188954001;5,10562160126911;0,395679308093766;0,63990858252827;-5,79248767199191
"16650069";4,41788619522827;6,24357746106843;5,19994871489993;4,8104227396591;5,04023441375736;4,85228704383874;3,96637982541349;4,868037774012;0,159292727082181;0,44519553726135;-5,13579614120755
"16650071";5,58683016884652;4,55251827930232;5,6942739830791;4,82532465266771;6,6877199077772;4,17757285807397;5,95463454905006;4,23028569456068;0,719663627010872;0,854795857904628;-6,10237773591284
"16650073";6,90031374188286;7,13983624202003;7,4655943285856;6,5483135866032;5,28163301491508;6,61570135183917;6,96383534427385;6,04963483232472;0,851875545994371;0,929394417915396;-6,15155843945572
"16650075";3,01243924939752;4,18110632350662;3,52985787745668;4,36090092185629;3,46179001235637;4,06240337439156;3,79457283628794;5,44282843563588;0,442225796377669;0,674494088292297;-5,86089923599048
"16650079";6,94058805064178;7,07930029446879;7,75404645223873;7,55880403311169;5,98428387077416;7,29237898059222;6,42393674515268;5,72383399504485;0,612985924101141;0,791059785991415;-6,03589959818897
"16650081";3,6990257941782;6,45654431620766;3,57884928831688;4,74038503825785;6,39943551124963;4,69291081465487;6,4108249425945;5,74771099262523;0,622503222613336;0,796880740434018;-6,04295504011477
"16650085";5,09862030759851;4,45643316692504;4,64247826976557;3,64787121630613;3,45424364703993;4,18900777677374;6,33437328048634;4,06056197331898;0,263533874125209;0,534412368347259;-5,51651288453616
"16650089";4,79526945814578;5,05928932597804;3,99646858357779;4,37565889228319;5,77741780771355;5,3111333574142;5,993728265987;4,33610792780191;0,380841896787038;0,626279571161018;-5,76816173865334
"16650093";5,67369630398215;4,93546899753755;6,03613518466228;5,78218964036947;5,74203386663528;6,70053271632069;7,39373585486194;6,19666588926042;0,0799291192896777;0,383042515180136;-4,57210502127918
"16650097";6,1249113234223;5,01262117422067;5,57170135705341;6,09230544440359;6,32592257847405;6,52707704733868;6,74116609084045;5,83515280369442;0,596176287941652;0,778636554961503;-6,02284510114947
"16650101";5,12086456268199;3,59345451114439;4,47571240425357;6,48773640631021;4,17254918701607;3,93311941410576;6,24974661230868;4,17757603256203;0,531709492466568;0,733799458471786;-5,9651383755154
"16650105";4,94980929512543;4,81001711780012;4,79165237782923;4,23214848910918;3,92932554152876;4,04246962761825;4,18181734378012;7,68556313930621;0,257868682941129;0,530590429333734;-5,50083239226223
"16650107";6,07409307235734;7,78666524124417;5,7657960063694;6,74193102142574;5,25181566840588;5,24933597826453;5,68497886793802;7,01452837414157;0,962375122913032;0,982607872297858;-6,16864893057359
"16650109";4,56096485346057;3,53249127214893;4,05324760561173;4,16156876018737;3,31155378018073;3,43891941415053;4,45884118269793;4,36477784972865;0,590901698950141;0,775753807319068;-6,01858832419145
"16650113";3,53808440099124;3,47699729361154;3,89807900163388;3,40360818436004;3,05140392261258;4,51376181274187;5,47364868826317;3,77437618741711;0,112511104494745;0,412499683984564;-4,85630448639428
"16650115";4,6646115526576;5,04065992707731;4,86684093256235;7,23316056047629;6,74598673507932;6,13069602361662;4,70351648793776;4,47767261948652;0,96031246349969;0,981448277813999;-6,16851756352902
"16650117";3,7203970330361;2,93830567697488;3,0267334855643;3,10760467405633;3,2386199058496;2,96179777614477;5,37944051290366;5,77252362012327;0,146740748819075;0,437002895698843;-5,0708338010081
"16650119";3,24371242817437;3,70714238838028;3,43688156303246;4,04435229328962;4,2925430317922;3,72154154986871;4,31673197071601;3,26155219421149;0,79519185796889;0,899548625556165;-6,13453706521342
"16650123";3,90447800366278;4,19651051425527;4,73419513104751;4,19970729717892;4,62077732607894;4,50015156642362;6,18147794022127;7,2555017547477;0,0735441041224505;0,374957093997008;-4,50175678501845
"16650129";5,70148200846727;4,14109216712286;3,77296738473702;3,79513019404168;4,65247340855169;3,71529827994667;4,86432825598983;4,10835240391924;0,861974796414937;0,93434402911038;-6,15398722773042
"16650131";7,75804229092883;8,53178815769853;8,05491718570349;8,33450321397149;7,99060632959192;8,19885346881071;7,09379071994699;8,61087260951659;0,60707569641002;0,786815184169398;-6,03139715120748
"16650133";6,61393154239531;4,64632123345723;5,64209126042686;6,6102130712876;6,83670846001868;5,9597111359228;6,56197552099026;5,9228907409663;0,429923699173199;0,665833992749944;-5,84389817454493
"16650135";5,59246524477692;5,91303284039322;4,65770467279507;4,69838026403749;4,16995291157013;4,70383275502291;6,78226956742392;4,47214554517218;0,577443008897024;0,76542596017019;-6,00736792776976
"16650137";5,71142405588978;5,38423142998713;5,54291047924542;5,38774761330331;4,72363083941618;5,80406678417958;4,66531690049352;5,17978941767328;0,298410297228583;0,563655932991431;-5,60458344069886
"16650139";6,5157488166401;5,7120546130644;5,59026403012676;6,90210643353101;6,62798021953146;5,88985130579925;5,5600440240466;6,5587990553867;0,195447628993014;0,477017483434516;-5,29449632889216
"16650141";5,7054463155421;5,05531483629931;5,18159924057283;4,68661353044438;7,19599388159598;4,32689529590791;5,13755951195859;5,33030438848323;0,168362591624222;0,453753643333383;-5,17922924629981
"16650145";3,65298797566478;4,03988279699992;3,40650594984223;3,24771506696672;4,70262860244339;4,31815140554526;7,06568435585766;4,03706536120553;0,229639149688435;0,507515772864597;-5,41588394056652
"16650147";6,1404198753385;5,49580343752691;6,01056462696893;4,99696063442223;5,11900378335356;7,2319462476201;6,78377249309806;5,72824738044371;0,458881867457722;0,686821418924521;-5,88278951316371
"16650149";7,79324202369514;5,50646265657028;6,49844694642386;6,78599162490615;4,74060236696638;5,62169870848213;3,53216993058799;6,47174757456619;0,371581137967435;0,620335480547453;-5,75228895326171
"16650151";7,41522839028794;5,86665090368086;7,40736771715797;6,93515871184001;6,33849159731786;4,93864149360344;7,38028003793877;7,34938015718864;0,499551129570926;0,714495023062006;-5,93126972630354
"16650159";6,57350462404015;5,16181649866264;6,43502112542043;5,94974983096338;5,97165707506872;6,33413602351494;5,53165065952433;5,08451891975558;0,793468254856611;0,899006531478342;-6,13392705774609
"16650161";6,69633982690334;5,2767860084492;6,1963629483706;5,35907166005702;5,62008797823226;6,62540655393896;4,92059738166931;6,40134209360079;0,477955245486038;0,700213962959358;-5,90636390613398
"16650163";7,18368797297864;5,96359433081822;7,61946786437204;5,85123610320171;5,82704166840486;5,46546150815529;7,47780047949633;6,09788837238428;0,598422135842403;0,78042910185168;-6,02463400496605
"16650165";5,50450467757015;4,97917405642957;8,50294207720301;5,87953528945795;6,93978828414263;5,93371849402891;4,40023135886143;5,29464651014327;0,0407635738644332;0,33134926869549;-3,99301710459648
"16650167";7,25560480908104;3,43727322905582;3,91453316920345;4,07732523240592;3,96227162097011;3,8144267764157;5,45041248215507;3,846576583752;0,755509768160284;0,877427152153643;-6,1190523397939
"16650169";3,58322696140996;4,9578376744632;3,47252372323908;3,37102429454025;3,39237607216637;3,64897981627812;4,95332194626837;3,26112872307652;0,791140157051675;0,897920632101664;-6,13309423569198
"16650171";3,68442450304302;5,69979612896022;3,08643388550253;2,94604228783365;3,7970015274762;2,89774891427838;3,08783908461867;3,31776617549003;0,249612928098718;0,523847140791484;-5,47720671887538
"16650173";5,85467445288876;4,68125387069591;5,39164114627635;5,11899955863009;6,45139383964367;4,88031276918769;5,2031415238914;5,2194097092688;0,655853524307681;0,818915755921766;-6,06585577052389
"16650177";4,09465912488956;7,30452015060313;4,29711686563349;5,86636775305295;5,60906630151235;4,26509123336106;5,3552129990178;3,74769880416861;0,0905214510969272;0,391378643971473;-4,67646780175116
