"","SYMBOL","DESC","GSM3688814_p.15.06.2016_01_AS6.ga.cel","GSM3688815_p.15.06.2016_02_AS2.ga.cel","GSM3688816_p.15.06.2016_03_AS3.ga.cel","GSM3688817_p.15.06.2016_04_AS5.ga.cel","GSM3688818_p.15.06.2016_14_AS7.ga.cel","GSM3688819_p.15.06.2016_05_S15.ga.cel","GSM3688820_p.15.06.2016_07_S10.ga.cel","GSM3688821_p.15.06.2016_09_S29.ga.cel","GSM3688822_p.15.06.2016_10_S22.ga.cel","GSM3688823_p.15.06.2016_11_S17.ga.cel","GSM3688824_p.15.06.2016_12_S19.ga.cel","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"16684080","IFI6","interferon alpha inducible protein 6",7.03233995319785,6.62036931919618,6.71385588518752,6.86850346007888,6.39642505408304,10.413933498899,10.4054706633018,10.2891853162917,10.4365793460384,10.4858326849109,9.8765049815623,-3.59161901415198,8.68536365115887,-12.735209158313,6.64692269970542e-10,8.90953518668514e-06,11.4877280326097
"16667702","VCAM1","vascular cell adhesion molecule 1",5.08245063671596,5.88648682146018,5.32042738524502,5.37516468377517,5.38938263800128,9.33393823956318,8.63715822256527,8.40147266492411,8.63448206339071,9.00961042981539,8.54927077740518,-3.35020629990445,7.23816768753286,-11.1893218966336,4.48198847572877e-09,3.00382867643342e-05,10.0862243307134
"16960355","TM4SF1","transmembrane 4 L six family member 1",6.75673267300471,6.93922402983414,5.85421641806268,6.03205152738113,6.03046974412858,10.9324286539338,11.6409092326491,9.03995954824023,10.6882254266761,9.87100178126083,10.4860883139909,-4.12056328097624,8.57011884992383,-9.69788036155045,3.47293453250097e-08,0.000155170714912143,8.48150930359184
"17004208","FOXC1","forkhead box C1",6.12827212718494,5.21485874589239,5.87803572651315,6.19036255383626,5.53800974288877,8.79742114386007,8.75043402395865,8.20848237084073,9.16559261307863,8.27502897564767,8.30815499547256,-2.79427790787995,7.31405936537944,-8.83635086073189,1.26121586944547e-07,0.000422633437851176,7.42317274479417
"16840113","CXCL16","C-X-C motif chemokine ligand 16",5.60218876463217,4.35883506409092,5.50328379859382,5.53659775655959,5.83404019087305,8.90835893480403,9.20765727690413,7.51519824519632,8.94490902277576,8.30546772506573,8.16107421685958,-3.14012178865102,7.07978281785046,-8.2988669995092,2.94650646806024e-07,0.000679681501572978,6.70897765462364
"16852463","RAB27B","RAB27B, member RAS oncogene family",5.52715407490395,6.08216057459516,5.41155439952003,5.5066353857113,6.01591849446127,9.45759437445452,8.06890756851639,8.48558976676088,8.12905507700578,8.14028809642318,9.32321272960011,-2.89209001628847,7.2861882310866,-8.27900169333819,3.04244181545648e-07,0.000679681501572978,6.6817510407116
"16853879","PIEZO2","piezo type mechanosensitive ion channel component 2",5.95796404118268,4.79449075552037,5.30536878964916,5.05219747036491,5.59889904158993,8.82277437189352,8.8284471793501,8.00248374392783,7.7363106512357,7.48746552584081,7.65911078469966,-2.7476480231632,6.84050112320497,-7.71688463166342,7.69060443811802e-07,0.00147264088412191,5.88604517645284
"17121886","PIEZO2","piezo type mechanosensitive ion channel component 2",7.17342440575894,6.5278332405502,6.60833550128084,6.65753278259122,6.74658280106183,9.64908737311902,9.31054757311638,8.85832863316559,8.48484354712355,8.51261322363526,8.7181189887323,-2.17951481023341,7.93156800637592,-6.93904117470044,2.97104956556152e-06,0.00442488315297629,4.70198136177851
"16757373","OAS2","2'-5'-oligoadenylate synthetase 2",5.77946279963609,5.66989136581972,5.57652798720514,4.98433332512648,5.25901584980247,8.18975427079862,6.95274773141706,8.44627231356741,9.02887788211552,7.75939772414422,7.49178139821038,-2.52429228785756,6.83073296798574,-6.77563017066288,3.98769264594747e-06,0.00533922030040496,4.44069829400662
"16909724","ARL4C","ADP ribosylation factor like GTPase 4C",7.36618270846903,6.7640239658988,7.64683023171013,7.62938780152522,6.83466539530916,9.64887458883624,10.5500993957225,9.12315561312309,10.1293919862056,9.25693084927133,9.06697048493664,-2.38101913243343,8.54695572918252,-6.72374326064468,4.38163408717208e-06,0.00533922030040496,4.35681773170548
